"YEAR","SAMPLE","SERIAL","CBSERIAL","NUMPREC","HHWT","CLUSTER","STATEICP","CITY","STRATA","GQ","HHINCOME","COUPLETYPE","PERNUM","PERWT","SFTYPE","SFRELATE","CBSUBFAM","CBSFTYPE","CBSFRELATE","MOMLOC","MOMRULE","POPLOC","POPRULE","SPLOC","SPRULE","RELATE","RELATED","SEX","AGE","MARST","MARRNO","MARRINYR","YRMARR","FERTYR","RACE","RACED","EDUC","EDUCD","DEGFIELD","DEGFIELDD","DEGFIELD2","DEGFIELD2D","EMPSTAT","EMPSTATD","LABFORCE","INCTOT","TRANWORK","TRANTIME","DEPARTS","ARRIVES","mom","dad","parent"
2022,202201,1411414,2022000701540,4,170,2022014114141,40,0,1610151,1,357000,1,3,298,0,0,0,0,0,2,11,1,11,0,0,3,301,2,2,6,0,0,0,0,1,100,0,1,0,0,0,0,0,0,0,9999999,0,0,0,0,1,1,1
2022,202201,1183378,2022000574287,1,113,2022011833781,5,5650,10344,1,79000,0,1,113,0,0,0,0,0,0,0,0,0,0,0,1,101,2,33,6,0,0,0,1,1,100,10,101,29,2901,62,6206,1,10,2,79000,10,60,712,814,0,0,0
2022,202201,1049333,2022000528055,3,26,2022010493331,24,0,150039,1,111400,0,1,26,0,0,0,0,0,0,0,0,0,0,0,1,101,2,71,4,3,1,1992,0,1,100,6,64,0,0,0,0,3,30,1,29400,0,0,0,0,0,0,0
2022,202201,1402508,2022000329971,4,60,2022014025081,40,0,830051,1,170000,1,2,85,0,0,0,0,0,0,0,0,0,1,11,2,201,1,47,1,1,1,1997,0,1,100,6,63,0,0,0,0,1,10,2,120000,80,0,0,0,0,0,0
2022,202201,564067,2022000985925,2,72,2022005640671,32,0,90020,1,85700,1,1,72,0,0,0,0,0,0,0,0,0,2,11,1,101,2,77,1,1,1,1965,0,1,100,7,71,0,0,0,0,3,30,1,16700,0,0,0,0,0,0,0
2022,202201,423798,2022001044027,3,86,2022004237981,44,0,320013,1,117300,0,2,127,0,0,0,0,0,0,0,0,0,0,0,5,501,2,66,5,3,1,2005,0,1,100,10,101,61,6108,0,0,3,30,1,101300,0,0,0,0,0,0,0
2022,202201,66976,2022000552966,2,116,2022000669761,42,0,120005,1,55000,0,2,147,0,0,0,0,0,0,0,0,0,0,0,10,1001,1,48,6,0,0,0,0,2,200,6,63,0,0,0,0,1,10,2,35000,10,10,902,914,0,0,0
2022,202201,1466585,2022000127518,1,28,2022014665851,56,0,20054,1,12300,0,1,27,0,0,0,0,0,0,0,0,0,0,0,1,101,1,73,4,2,1,1986,0,1,100,6,63,0,0,0,0,3,30,1,12300,0,0,0,0,0,0,0
2022,202201,639212,2022001131256,3,297,2022006392121,52,0,160124,1,210000,1,2,280,0,0,0,0,0,0,0,0,0,1,11,2,201,1,48,1,1,1,1999,0,1,100,6,63,0,0,0,0,1,10,2,110000,80,0,0,0,0,0,0
2022,202201,1113662,2022001003407,2,57,2022011136621,72,0,170241,1,46900,1,2,60,0,0,0,0,0,0,0,0,0,1,11,2,201,1,69,1,1,1,1974,0,1,100,6,63,0,0,0,0,3,30,1,25300,0,0,0,0,0,0,0
2022,202201,786177,2022000941588,3,118,2022007861771,34,0,190129,1,151000,0,1,119,0,0,0,0,0,0,0,0,0,0,0,1,101,2,37,4,1,1,2009,1,2,200,10,101,62,6201,0,0,1,10,2,151000,80,0,0,0,0,0,0
2022,202201,251212,2022000867060,2,183,2022002512121,62,0,150108,1,245000,1,2,170,0,0,0,0,0,0,0,0,0,1,11,2,201,2,33,1,1,1,2019,1,1,100,10,101,24,2410,0,0,1,10,2,135000,10,5,702,709,0,0,0
2022,202201,360044,2022001006564,4,164,2022003600441,43,0,991112,1,172000,1,1,164,0,0,0,0,0,0,0,0,0,2,11,1,101,2,54,1,1,1,2008,0,1,100,11,114,62,6201,0,0,1,10,2,73000,10,25,932,959,0,0,0
